ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
170	IXODUV_clean_min_charges	H_4_C_8_O_5_V_1	13.694	14.215	15.969	90.002	89.985	89.953	3108.5278	112
171	IXOFAD_clean_min_charges	H_4_C_8_O_5_V_1	13.72	14.236	15.975	90.004	89.996	89.99	3120.204	112
172	IXOFEH_clean_min_charges	H_4_C_8_O_5_V_1	13.728	14.03	16.134	89.995	89.988	90.083	3107.467	112
173	IXOFIL_clean_min_charges	H_4_C_8_O_5_V_1	13.716	14.213	15.984	90.0	90.002	90.003	3116.009	112
174	IXUREZ_clean_min_charges	H_9_C_13_N_2_O_4_Zn_1	22.087	17.892	20.541	110.258	93.396	89.007	7601.8696	320
175	IYIGEC_clean_min_charges	H_22_C_11_N_4_O_6_S_2_Ag_2	13.69	16.701	16.701	87.613	78.271	78.214	3659.9097	200
176	IYUJAO_clean_min_charges	H_24_C_43_O_18_In_3	16.334	16.343	16.344	92.276	92.425	92.394	4351.501	192
177	JASNAT_clean_min_charges	H_8_C_13_N_1_O_4_Zn_1	22.129	22.139	14.069	92.71	87.938	97.682	6820.037	304
178	JAVNIE_clean_min_charges	H_32_C_48_N_40_Cl_4_Cu_5	12.416	15.662	15.483	89.974	89.987	90.033	3010.8137	97
179	JIVFUQ_clean_min_charges	H_6_C_6_O_8_P_2_Zn_1	18.774	21.078	21.139	88.962	99.331	80.401	8130.065	272
180	JOSNAG_clean_min_charges	H_12_C_9_O_6_La_1	17.348	20.148	20.657	75.235	83.058	68.805	6506.189	256
181	KANDIO_clean_min_charges	H_9_C_16_N_1_O_4_F_1_Zn_1	22.005	22.032	18.441	88.277	87.237	72.206	8501.756	368
182	KAVROQ_clean_min_charges	H_96_C_96_O_192_Zn_47	20.255	18.421	18.542	89.999	90.023	89.947	6918.3384	335
183	KAXQIL_clean_min_charges	H_8_C_14_O_6_S_1_Ca_1	11.298	24.39	22.765	99.196	89.99	89.963	6192.456	352
184	KAXQOR_clean_min_charges	H_8_C_14_O_6_S_1_Ca_1	11.272	24.217	23.214	98.079	90.007	89.999	6273.9277	352
185	KAXQOR01_clean_min_charges	H_8_C_14_O_6_S_1_Ca_1	11.307	24.27	22.852	99.337	89.988	90.0	6187.982	352
186	KAYBIX_clean_min_charges	H_3_C_7_N_1_O_4_Ca_1	12.756	24.58	15.545	89.994	102.135	89.976	4765.1074	208
187	KAYBUJ_clean_min_charges	H_3_C_7_N_1_O_4_Ca_1	12.657	27.203	14.666	90.018	90.088	95.761	5024.1157	208
188	KEFBEE_clean_min_charges	H_3_C_9_O_4_Zn_1	15.541	15.536	15.533	76.13	76.134	76.139	3468.2966	84
189	KEWZOD_clean_min_charges	H_11_C_19_N_2_O_4_Zn_1	23.037	15.262	18.164	89.982	90.0	89.902	6386.2837	208
